event_label,tournament,player,best_odds,best_decimal,best_implied_raw,best_book,dk_odds,dk_implied_raw,avg_novig_prob
masters,Masters Tournament Winner,Nick Taylor,25000,251.0,0.003984,bovada,25000.0,0.003984,0.0035546974269457057
masters,Masters Tournament Winner,Sam Stevens,30000,301.0,0.003322,espnbet,15000.0,0.006623,0.0035190487591731977
masters,Masters Tournament Winner,Byeong Hun An,25000,251.0,0.003984,espnbet,,,0.0034435474950461993
masters,Masters Tournament Winner,Michael Brennan,40000,401.0,0.002494,draftkings,40000.0,0.002494,0.0033801093245646417
masters,Masters Tournament Winner,Tiger Woods,25000,251.0,0.003984,espnbet,15000.0,0.006623,0.003268447467017769
masters,Masters Tournament Winner,Jacob Bridgeman,25000,251.0,0.003984,espnbet,20000.0,0.004975,0.0031672244680741456
masters,Masters Tournament Winner,Haotong Li,25000,251.0,0.003984,bovada,25000.0,0.003984,0.0030999516281094166
masters,Masters Tournament Winner,Jayden Trey Schaper,20000,201.0,0.004975,draftkings,20000.0,0.004975,0.002985115822493913
masters,Masters Tournament Winner,Austin Eckroat,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Cameron Davis,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Chris Kirk,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Christiaan Bezuidenhout,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Joe Highsmith,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Kevin Yu,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Laurie Canter,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Lucas Glover,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Stephan Jaeger,20000,201.0,0.004975,bovada,,,0.002942973746307973
masters,Masters Tournament Winner,Aldrich Potgieter,25000,251.0,0.003984,betrivers,25000.0,0.003984,0.002771310161123397
masters,Masters Tournament Winner,Davis Riley,30000,301.0,0.003322,draftkings,30000.0,0.003322,0.002694843793262876
masters,Masters Tournament Winner,J.T. Poston,25000,251.0,0.003984,bovada,,,0.002356745207093661
masters,Masters Tournament Winner,Tom Hoge,25000,251.0,0.003984,bovada,,,0.002356745207093661
masters,Masters Tournament Winner,Bubba Watson,30000,301.0,0.003322,fanduel,25000.0,0.003984,0.0023251006566813947
masters,Masters Tournament Winner,Jhonattan Vegas,30000,301.0,0.003322,bovada,,,0.001965137444268359
masters,Masters Tournament Winner,Nicholas Dunlap,30000,301.0,0.003322,bovada,,,0.001965137444268359
masters,Masters Tournament Winner,Nico Echavarria,30000,301.0,0.003322,bovada,,,0.001965137444268359
