name,event_label,win_probability,tournament,dk_odds,best_odds,best_book,avg_novig_prob,model_prob,edge_pp,half_kelly_pct
Wyndham Clark,pga_champ,0.0003019545878754722,PGA Championship Winner,8000.0,12500.0,lowvig,0.007165247873540405,0.0003019545878754722,-0.6863293285664933,0.0
Harry Hall,open,0.0009936159905245226,The Open Winner,9000.0,10000.0,espnbet,0.008188233984272162,0.0009936159905245226,-0.719461799374764,0.0
Wyndham Clark,masters,0.0003053782880265448,Masters Tournament Winner,8000.0,10000.0,espnbet,0.0076717754148692315,0.0003053782880265448,-0.7366397126842686,0.0
Marco Penge,pga_champ,8.660838119341658e-05,PGA Championship Winner,,10000.0,lowvig,0.0075843801496618376,8.660838119341658e-05,-0.7497771768468421,0.0
Robert MacIntyre,masters,0.007773751863012802,Masters Tournament Winner,5000.0,5000.0,draftkings,0.015307824030353266,0.007773751863012802,-0.7534072167340464,0.0
Jason Day,masters,0.0018956458654467994,Masters Tournament Winner,6500.0,6600.0,betrivers,0.009702588074320648,0.0018956458654467994,-0.7806942208873849,0.0
Cameron Young,pga_champ,0.008369766396576496,PGA Championship Winner,4500.0,5000.0,bovada,0.016256021289056913,0.008369766396576496,-0.7886254892480417,0.0
Xander Schauffele,us_open,0.0246673574692071,US Open Winner,1800.0,2000.0,betonlineag,0.03270691197588413,0.0246673574692071,-0.8039554506677028,0.0
Shane Lowry,us_open,0.0056207095856208806,US Open Winner,5500.0,6000.0,betonlineag,0.013754014319271713,0.0056207095856208806,-0.8133304733650832,0.0
Akshay Bhatia,masters,0.0008890782063661032,Masters Tournament Winner,6000.0,8000.0,bovada,0.009243102366241525,0.0008890782063661032,-0.8354024159875422,0.0
Marco Penge,open,7.94217522499311e-05,The Open Winner,7000.0,10000.0,lowvig,0.0088518292783937,7.94217522499311e-05,-0.8772407526143771,0.0
Cameron Young,masters,0.008464666661805184,Masters Tournament Winner,4000.0,4000.0,bovada,0.01734515777045075,0.008464666661805184,-0.8880491108645564,0.0
Corey Conners,masters,0.0004939447427416838,Masters Tournament Winner,6000.0,7500.0,espnbet,0.009427347451011925,0.0004939447427416838,-0.8933402708270242,0.0
Tyrrell Hatton,masters,0.004017542380523496,Masters Tournament Winner,4000.0,5500.0,bovada,0.013634782096997955,0.004017542380523496,-0.9617239716474459,0.0
Hideki Matsuyama,masters,0.011899017144096802,Masters Tournament Winner,3500.0,3500.0,draftkings,0.021565540019951496,0.011899017144096802,-0.9666522875854695,0.0
Corey Conners,us_open,0.00046044503681083815,US Open Winner,6000.0,10000.0,betonlineag,0.01028652186558634,0.00046044503681083815,-0.9826076828775503,0.0
Corey Conners,pga_champ,0.0005294593873596479,PGA Championship Winner,6000.0,8000.0,lowvig,0.01041353333259341,0.0005294593873596479,-0.9884073945233763,0.0
Shane Lowry,open,0.0088670368547473,The Open Winner,4000.0,4000.0,lowvig,0.018842758803384076,0.0088670368547473,-0.9975721948636775,0.0
Justin Rose,us_open,0.005239175892881608,US Open Winner,5000.0,5000.0,betmgm,0.015428157393080389,0.005239175892881608,-1.0188981500198782,0.0
Robert MacIntyre,us_open,0.003478103867187418,US Open Winner,5000.0,5500.0,betonlineag,0.013878377645598561,0.003478103867187418,-1.0400273778411142,0.0
Corey Conners,open,0.0003140473808590447,The Open Winner,7000.0,7000.0,lowvig,0.01079901185972271,0.0003140473808590447,-1.0484964478863665,0.0
Patrick Reed,open,0.002373745049799302,The Open Winner,4000.0,6600.0,betrivers,0.013054246328372132,0.002373745049799302,-1.068050127857283,0.0
Justin Rose,open,0.011149423246932268,The Open Winner,3000.0,3300.0,betmgm,0.021915083499248905,0.011149423246932268,-1.0765660252316636,0.0
Jordan Spieth,us_open,0.0008798140030855996,US Open Winner,5000.0,7500.0,betonlineag,0.011715645792634372,0.0008798140030855996,-1.0835831789548773,0.0
Patrick Reed,pga_champ,0.002111509615276029,PGA Championship Winner,4000.0,6600.0,betmgm,0.013120746908032757,0.002111509615276029,-1.1009237292756728,0.0
Jordan Spieth,pga_champ,0.0013804352443983385,PGA Championship Winner,5000.0,6000.0,lowvig,0.012903804387273073,0.0013804352443983385,-1.1523369142874735,0.0
Jordan Spieth,open,0.0014155546452034125,The Open Winner,5000.0,5500.0,betmgm,0.013304489748490803,0.0014155546452034125,-1.188893510328739,0.0
Patrick Reed,us_open,0.0015337502605339917,US Open Winner,4000.0,6600.0,betmgm,0.01354119923470804,0.0015337502605339917,-1.2007448974174046,0.0
Justin Rose,masters,0.012176635056161957,Masters Tournament Winner,3000.0,3000.0,draftkings,0.02421498072490425,0.012176635056161957,-1.2038345668742292,0.0
Cameron Young,us_open,0.004853123282590193,US Open Winner,5000.0,5000.0,draftkings,0.016929176850321605,0.004853123282590193,-1.2076053567731413,0.0
Tyrrell Hatton,pga_champ,0.0038832031652119973,PGA Championship Winner,3500.0,5000.0,lowvig,0.0159729149697145,0.0038832031652119973,-1.2089711804502503,0.0
Xander Schauffele,masters,0.020761467128964844,Masters Tournament Winner,1800.0,2200.0,espnbet,0.032897486618629575,0.020761467128964844,-1.213601948966473,0.0
Jordan Spieth,masters,0.0015459716556584576,Masters Tournament Winner,4000.0,5000.0,betrivers,0.014558197848473087,0.0015459716556584576,-1.3012226192814629,0.0
Robert MacIntyre,open,0.010869204470405458,The Open Winner,3000.0,3000.0,draftkings,0.024334850989117807,0.010869204470405458,-1.3465646518712349,0.0
Xander Schauffele,pga_champ,0.020528703239281413,PGA Championship Winner,1600.0,2000.0,bovada,0.034762116085742825,0.020528703239281413,-1.4233412846461413,0.0
Tyrrell Hatton,us_open,0.0024626346089597186,US Open Winner,3500.0,4000.0,betonlineag,0.01947119266091475,0.0024626346089597186,-1.700855805195503,0.0
Tyrrell Hatton,open,0.005715053176204173,The Open Winner,3000.0,3000.0,lowvig,0.023461660327140706,0.005715053176204173,-1.774660715093653,0.0
Tommy Fleetwood,us_open,0.013653461319310998,US Open Winner,2000.0,2200.0,betrivers,0.03162338099632186,0.013653461319310998,-1.7969919677010857,0.0
Xander Schauffele,open,0.016381696423204133,The Open Winner,1600.0,2000.0,lowvig,0.03579599323650439,0.016381696423204133,-1.9414296813300258,0.0
Patrick Reed,masters,0.002717307456240675,Masters Tournament Winner,3500.0,3500.0,draftkings,0.0228144745556367,0.002717307456240675,-2.0097167099396027,0.0
Bryson DeChambeau,open,0.002497715308675272,The Open Winner,1800.0,2000.0,lowvig,0.03506322407380377,0.002497715308675272,-3.25655087651285,0.0
Bryson DeChambeau,masters,0.004513577667820293,Masters Tournament Winner,1000.0,1600.0,betrivers,0.04310507796241838,0.004513577667820293,-3.8591500294598085,0.0
